,PC1,PC2,PC3
Bloom_Index,-0.4661021513247895,-0.27316344668827836,0.25929965334467264
Rolling_Chlorophyll_Anomaly,-0.2570653424697428,-0.3117458028278045,-0.5066719087990496
Rolling_SST_Anomaly,-0.19507980182552706,0.5622212246287182,0.06224657323305485
Surface_Chlorophyll,0.3360914402524495,-0.2189170486169982,-0.42053282840957174
Sea_Surface_Temperature,-0.3981213190599519,0.11496581223974242,0.09062272695509943
Dissolved_Oxygen,0.47086134349099146,0.172826697056189,0.35135261612538093
pH,0.15473698969553695,-0.269324866894199,0.5192161506483592
Total_Nitrogen,0.3222216820848264,-0.38796287623037184,0.02426669338246472
Total_Phosphorus,0.24014843549412113,0.445018677983989,-0.3057602785829153
